sales_id,retailer_id,retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method,gross_margin_rate,cogs,gross_profit
1,1185732,"Foot Locker",2020-01-01,Northeast,Pennsylvania,Philadelphia,"Women's Apparel",75,275,20625.00,6188.00,Outlet,0.4900,10518.75,10106.25
2,1185732,"Foot Locker",2020-01-01,Northeast,Pennsylvania,Philadelphia,"Women's Apparel",53,83,4399.00,141.00,Outlet,0.4900,2243.49,2155.51
3,1185732,"Foot Locker",2020-01-01,Northeast,Pennsylvania,Philadelphia,"Women's Apparel",68,83,5644.00,243.00,Online,0.4900,2878.44,2765.56
4,1185732,"Foot Locker",2020-01-01,Northeast,"New York","New York","Men's Street Footwear",50,1200,60000.00,30000.00,In-store,0.4900,30600.00,29400.00
5,1185732,"Foot Locker",2020-01-01,Northeast,"New York","New York","Men's Street Footwear",34,384,13056.00,679.00,Outlet,0.4900,6658.56,6397.44
6,1185732,"Foot Locker",2020-01-01,Northeast,"New York","New York","Men's Street Footwear",47,336,15792.00,963.00,Online,0.4900,8053.92,7738.08
7,1128299,"West Gear",2020-01-02,Northeast,Pennsylvania,Philadelphia,"Men's Street Footwear",27,158,4266.00,179.00,Outlet,0.4900,2175.66,2090.34
8,1128299,"West Gear",2020-01-02,Northeast,Pennsylvania,Philadelphia,"Men's Street Footwear",35,450,15750.00,6300.00,Outlet,0.4900,8032.50,7717.50
9,1128299,"West Gear",2020-01-02,Northeast,Pennsylvania,Philadelphia,"Men's Street Footwear",32,122,3904.00,199.00,Online,0.4900,1991.04,1912.96
10,1185732,"Foot Locker",2020-01-02,Northeast,"New York","New York","Men's Athletic Footwear",36,320,11520.00,403.00,Outlet,0.4900,5875.20,5644.80
11,1185732,"Foot Locker",2020-01-02,Northeast,"New York","New York","Men's Athletic Footwear",47,260,12220.00,513.00,Online,0.4900,6232.20,5987.80
12,1185732,"Foot Locker",2020-01-02,Northeast,"New York","New York","Men's Athletic Footwear",50,1000,50000.00,15000.00,In-store,0.4900,25500.00,24500.00
13,1128299,"West Gear",2020-01-03,Northeast,Pennsylvania,Philadelphia,"Men's Athletic Footwear",44,117,5148.00,190.00,Online,0.4900,2625.48,2522.52
14,1128299,"West Gear",2020-01-03,Northeast,Pennsylvania,Philadelphia,"Men's Athletic Footwear",35,135,4725.00,146.00,Outlet,0.4900,2409.75,2315.25
15,1128299,"West Gear",2020-01-03,Northeast,Pennsylvania,Philadelphia,"Men's Athletic Footwear",45,450,20250.00,5063.00,Outlet,0.4900,10327.50,9922.50
